Amostra,Sinal_Original,Sinal_Filtrado
323,-1624.000000,-1925.643727
324,-1447.000000,-1749.489677
325,-1268.000000,-1572.446832
326,-1089.000000,-1394.538667
327,-908.000000,-1215.720411
328,-727.000000,-1035.942031
329,-546.000000,-855.366536
330,-365.000000,-674.359557
331,-183.000000,-493.113844
332,-1.000000,-311.591617
333,182.000000,-129.693006
334,364.000000,52.565924
335,547.000000,235.039104
336,730.000000,417.691805
337,911.000000,600.344713
338,1093.000000,782.645083
339,1274.000000,964.515376
340,1455.000000,1146.000071
341,1636.000000,1327.166947
342,1816.000000,1508.065084
343,1995.000000,1688.522897
344,2172.000000,1868.166993
345,2350.000000,2046.800159
346,2526.000000,2224.556189
347,2702.000000,2401.529330
348,2875.000000,2577.568579
349,3048.000000,2752.402524
350,3219.000000,2925.923238
351,3389.000000,3098.119440
352,3557.000000,3268.918837
353,3724.000000,3438.257030
354,3888.000000,3605.999772
355,4051.000000,3771.944328
356,4212.000000,3936.041936
357,4371.000000,4098.314204
358,4527.000000,4258.602494
359,4682.000000,4416.750039
360,4834.000000,4572.759547
361,4985.000000,4726.685828
362,5132.000000,4878.482023
363,5277.000000,5027.890421
364,5419.000000,5174.683669
365,5559.000000,5318.830952
366,5697.000000,5460.476631
367,5831.000000,5599.669455
368,5962.000000,5736.114367
369,6090.000000,5869.516938
370,6215.000000,5999.795560
371,6337.000000,6126.971436
372,6455.000000,6250.994126
373,6571.000000,6371.809010
374,6683.000000,6489.479034
375,6791.000000,6603.886489
376,6896.000000,6714.801786
377,6999.000000,6822.340593
378,7096.000000,6926.590866
379,7190.000000,7027.206446
380,7281.000000,7124.026916
381,7368.000000,7217.211685
382,7451.000000,7306.769250
383,7529.000000,7392.459228
384,7604.000000,7474.052149
385,7675.000000,7551.607057
386,7743.000000,7625.353742
387,7805.000000,7695.293905
388,7863.000000,7761.059664
389,7918.000000,7822.498868
390,7969.000000,7879.883590
391,8014.000000,7933.228167
392,8056.000000,7982.260163
393,8093.000000,8026.913203
394,8126.000000,8067.215526
395,8154.000000,8103.118243
396,8178.000000,8134.565853
397,8198.000000,8161.619955
398,8212.000000,8184.259494
399,8223.000000,8202.346455
400,8229.000000,8215.952998
401,8231.000000,8225.193159
402,8227.000000,8229.955139
403,8220.000000,8230.095519
404,8208.000000,8225.711611
405,8191.000000,8216.845339
406,8170.000000,8203.406158
407,8144.000000,8185.392359
408,8114.000000,8162.832514
409,8079.000000,8135.754127
410,8039.000000,8104.075977
