Frequencia(Hz),Original_Magnitude,Filtrado_Magnitude
28.20,2314161.862251,2314185.312280
28.30,2328874.924352,2328899.233472
28.40,2343368.502649,2343393.665157
28.50,2357782.571511,2357808.577940
28.60,2371889.916145,2371916.759939
28.70,2385817.387378,2385845.059066
28.80,2399870.537154,2399899.021579
28.90,2413728.447445,2413757.737151
29.00,2427117.449678,2427147.531200
29.10,2440466.580159,2440497.440903
29.20,2453695.608936,2453727.233085
29.30,2466393.954985,2466426.326635
29.40,2479223.638893,2479256.742937
29.50,2491586.615687,2491620.435398
29.60,2504088.021490,2504122.538729
29.70,2515899.508678,2515934.702578
29.80,2527796.538918,2527832.389419
29.90,2539130.695124,2539167.180844
30.00,2550293.134431,2550330.231292
30.10,2561115.604748,2561153.291467
30.20,2571917.127067,2571955.376428
30.30,2582220.636533,2582259.423330
30.40,2591924.288630,2591963.584486
30.50,2601838.173629,2601877.950651
30.60,2611194.293383,2611234.521330
30.70,2620071.182757,2620111.831961
30.80,2628735.848212,2628776.885436
30.90,2636976.539500,2637017.932635
31.00,2644931.268548,2644972.982173
31.10,2652518.685304,2652560.683234
31.20,2659668.108914,2659710.354391
31.30,2666371.521634,2666413.976170
31.40,2672765.983827,2672808.608086
31.50,2678804.674508,2678847.427943
31.60,2684308.966240,2684351.806752
31.70,2689422.944925,2689465.829387
31.80,2694109.641731,2694152.525870
31.90,2698175.888397,2698218.726662
32.00,2702109.432650,2702152.178407
32.10,2705408.127236,2705450.732549
32.20,2708090.357472,2708132.773633
32.30,2710752.035160,2710794.211874
32.40,2712573.830288,2712615.716796
32.50,2714145.642577,2714187.185816
32.60,2715012.230271,2715053.377919
32.70,2715290.247369,2715330.945816
32.80,2715197.832397,2715238.025148
32.90,2714900.806367,2714940.438951
33.00,2713698.823703,2713737.838479
33.10,2712058.424999,2712096.763689
33.20,2710056.642226,2710094.248634
33.30,2707253.816949,2707290.629898
33.40,2704160.779869,2704196.743206
33.50,2700530.943181,2700565.994503
33.60,2696504.725305,2696538.806654
33.70,2691671.779851,2691704.829010
33.80,2686526.994717,2686558.952359
33.90,2680785.187579,2680815.989547
34.00,2674646.758929,2674676.351114
34.10,2667848.744199,2667877.063121
34.20,2660586.570591,2660613.553890
34.30,2652837.437084,2652863.027113
34.40,2644462.229047,2644486.366201
34.50,2635950.294350,2635972.923090
34.60,2626502.003400,2626523.059679
34.70,2616986.401593,2617005.836837
34.80,2606897.934140,2606915.688581
34.90,2596346.831289,2596362.852569
35.00,2585139.852923,2585154.089036
35.10,2573834.733586,2573847.134905
35.20,2561795.828209,2561806.347097
35.30,2549656.476585,2549665.067472
35.40,2537003.529794,2537010.151707
35.50,2523916.423737,2523921.036092
35.60,2510752.262833,2510754.828684
35.70,2497145.927873,2497146.416462
35.80,2483239.095551,2483237.477540
35.90,2469126.518464,2469122.771024
36.00,2454684.144974,2454678.243957
36.10,2440071.231360,2440063.166923
36.20,2425306.442277,2425296.196851
36.30,2410238.329865,2410225.909921
36.40,2395175.026820,2395160.426231
36.50,2380070.153076,2380053.383411
36.60,2364821.342026,2364802.417916
36.70,2349536.274441,2349515.213299
36.80,2334400.244789,2334377.081634
36.90,2319165.983285,2319140.755568
37.00,2304417.736420,2304390.487682
37.10,2289366.641845,2289337.428489
37.20,2274736.001833,2274704.885072
37.30,2260270.676582,2260237.728594
37.40,2246063.110085,2246028.415221
37.50,2232293.386774,2232257.033078
37.60,2218764.373637,2218726.463904
37.70,2205881.453133,2205842.095282
37.80,2193341.480577,2193300.796332
37.90,2181305.240456,2181263.357464
38.00,2169708.672190,2169665.730207
38.10,2158726.818215,2158682.964975
38.20,2148802.657890,2148758.048008
38.30,2138985.159037,2138939.958292
38.40,2130300.791024,2130255.170633
38.50,2122102.553894,2122056.692218
38.60,2115114.532090,2115068.613011
38.70,2108586.524095,2108540.736786
38.80,2102966.052508,2102920.590108
38.90,2098431.793657,2098386.851597
39.00,2094850.615401,2094806.389850
39.10,2091938.660732,2091895.349164
39.20,2090444.282305,2090402.080356
39.30,2089470.212959,2089429.313309
39.40,2089476.296800,2089436.889220
39.50,2090895.270047,2090857.538069
39.60,2092972.425827,2092936.543144
39.70,2096028.527470,2095994.664241
39.80,2100233.130962,2100201.444132
39.90,2105233.626917,2105204.267660
40.00,2111181.623973,2111154.727185
40.10,2117945.696257,2117921.383829
40.20,2125879.132218,2125857.514918
40.30,2134334.116792,2134315.289094
40.40,2143748.854049,2143732.897214
40.50,2153801.393981,2153788.378872
40.60,2164705.822167,2164695.791195
40.70,2176011.296318,2176004.285522
40.80,2187970.388521,2187966.424466
40.90,2200567.897073,2200566.973931
41.00,2213636.116910,2213638.220336
41.10,2227158.518623,2227163.624364
41.20,2240962.858780,2240970.922840
41.30,2255087.396889,2255098.362516
41.40,2269587.699541,2269601.497367
41.50,2284388.963512,2284405.505660
41.60,2299048.041170,2299067.234744
41.70,2313849.608873,2313871.339601
41.80,2328461.511885,2328485.660204
41.90,2343053.266343,2343079.700852
42.00,2357551.533360,2357580.109247
42.10,2371789.256271,2371819.825561
42.20,2385895.059087,2385927.459143
42.30,2399635.030838,2399669.091059
42.40,2412828.029228,2412863.577815
42.50,2425823.615614,2425860.469663
42.60,2438219.241673,2438257.210417
42.70,2450136.873160,2450175.765561
42.80,2461409.959747,2461449.576395
42.90,2471800.280371,2471840.420881
43.00,2481671.858183,2481712.318162
43.10,2490948.083263,2490988.655427
43.20,2499332.632242,2499373.108857
43.30,2506856.338476,2506896.510666
43.40,2513512.032428,2513551.691138
43.50,2519345.567013,2519384.504029
43.60,2524431.983673,2524469.992693
43.70,2528620.064541,2528656.942768
43.80,2531567.753016,2531603.297273
43.90,2533728.417490,2533762.429825
44.00,2534982.492477,2535014.781421
44.10,2535215.671663,2535246.048866
44.20,2534430.901477,2534459.189363
44.30,2532607.108195,2532633.132558
44.40,2529778.321934,2529801.916264
44.50,2526106.295505,2526127.307358
44.60,2521681.568581,2521699.847894
44.70,2516005.859183,2516021.272606
44.80,2509450.423659,2509462.854240
44.90,2502147.644008,2502156.973917
45.00,2494010.624181,2494016.762431
45.10,2484844.894634,2484847.760054
45.20,2474911.853632,2474911.381349
45.30,2464454.380841,2464450.528291
45.40,2453328.690904,2453321.427093
45.50,2441222.895091,2441212.212668
45.60,2429013.481790,2428999.388070
45.70,2416166.016899,2416148.546361
45.80,2402653.338355,2402632.545860
45.90,2389001.258826,2388977.216039
46.00,2375235.939778,2375208.751547
46.10,2361079.704893,2361049.494146
46.20,2346890.935160,2346857.850702
46.30,2332503.819378,2332468.032234
