Frequencia(Hz),Original_Magnitude,Filtrado_Magnitude
172.80,2335562.593532,2334689.509745
172.90,2333444.976774,2332591.080275
173.00,2332805.533754,2331971.895736
173.10,2333708.792182,2332891.331655
173.20,2335981.575079,2335171.951237
173.30,2339300.501489,2338488.018446
173.40,2342393.683515,2341568.048088
173.50,2344997.609633,2344150.970120
173.60,2346478.984705,2345607.914107
173.70,2346592.847991,2345699.075674
173.80,2344818.046628,2343908.288882
173.90,2342103.521559,2341187.570970
174.00,2338851.314047,2337940.080412
174.10,2335733.036378,2334835.945423
174.20,2333790.825234,2332913.430718
174.30,2332808.036306,2331951.033383
174.40,2333964.881326,2333123.296330
174.50,2336125.891270,2335290.927693
174.60,2339285.559993,2338446.187391
174.70,2342324.219726,2341470.129489
174.80,2344877.123350,2344000.884459
174.90,2346459.575036,2345558.449838
175.00,2346437.336688,2345514.076956
175.10,2344737.646912,2343799.765075
175.20,2341834.032021,2340892.016293
175.30,2338829.214036,2337893.945470
175.40,2335641.898140,2334722.526575
175.50,2333580.916748,2332682.127756
175.60,2332983.542976,2332104.650478
175.70,2334150.425903,2333285.393521
175.80,2336351.093387,2335490.208145
175.90,2339598.918029,2338730.765992
176.00,2342775.124988,2341889.689118
176.10,2345217.450646,2344308.341814
176.20,2346450.879155,2345516.831466
176.30,2345989.190950,2345034.480838
176.40,2344321.403732,2343354.627884
176.50,2341416.901143,2340449.253122
176.60,2338025.195263,2337067.615612
176.70,2335179.502455,2334239.952326
176.80,2333410.766213,2332492.411890
176.90,2333396.758364,2332496.975724
177.00,2334588.908705,2333700.222499
177.10,2337193.997598,2336305.492663
177.20,2340222.333049,2339322.683424
177.30,2343250.852559,2342330.826462
177.40,2345589.786470,2344644.589655
177.50,2346385.638644,2345416.199061
177.60,2345663.924919,2344676.457424
177.70,2343486.496255,2342491.153751
177.80,2340601.826733,2339610.122316
177.90,2337329.364546,2336351.609377
178.00,2334910.285848,2333952.698757
178.10,2333512.387080,2332575.862808
178.20,2333612.410305,2332692.019792
178.30,2335211.741147,2334297.981361
178.40,2338183.921344,2337264.992769
178.50,2341213.462698,2340278.562484
178.60,2344229.168795,2343270.650503
178.70,2345743.225828,2344759.063197
178.80,2346241.940268,2345235.542237
178.90,2344927.323861,2343907.348406
179.00,2342594.580152,2341572.340618
179.10,2339450.504075,2338437.544600
179.20,2336266.323453,2335271.387629
179.30,2334019.307614,2333046.032840
179.40,2333414.544107,2332460.513002
179.50,2334237.392197,2333294.916328
179.60,2336363.891071,2335421.761084
179.70,2339472.790039,2338519.065416
179.80,2342554.721983,2341579.941842
179.90,2344950.810704,2343950.205461
180.00,2346112.033942,2345086.748002
180.10,2345619.622752,2344576.487492
180.20,2343857.853044,2342807.529263
180.30,2340983.163236,2339937.730503
180.40,2337716.790901,2336686.587272
180.50,2335060.901887,2334051.804369
180.60,2333747.923571,2332759.847416
180.70,2333834.433252,2332861.456571
180.80,2335254.696281,2334286.447917
180.90,2338138.072560,2337162.175214
181.00,2340955.748296,2339961.563453
181.10,2343833.654678,2342814.285022
181.20,2345731.686211,2344686.219088
181.30,2346015.248055,2344948.904430
181.40,2344581.673751,2343504.445026
181.50,2342272.242070,2341196.140456
181.60,2339170.670844,2338107.114568
181.70,2336316.741199,2335273.284988
181.80,2334302.390904,2333280.893577
181.90,2333766.995716,2332762.971294
182.00,2334611.198800,2333615.108087
182.10,2336834.086287,2335833.620028
182.20,2339855.474560,2338838.871163
182.30,2342931.737577,2341890.822876
182.40,2344986.053815,2343918.488885
182.50,2345903.590830,2344813.144853
182.60,2345073.330986,2343969.261509
182.70,2343162.938554,2342057.255774
182.80,2340150.722234,2339055.537260
182.90,2337211.456458,2336135.415933
183.00,2334811.857096,2333758.153742
183.10,2333691.399757,2332656.693952
183.20,2334353.587173,2333328.797251
183.30,2336236.155037,2335209.121395
183.40,2338960.203435,2337918.691974
183.50,2342079.749773,2341014.604709
183.60,2344364.188930,2343272.055196
183.70,2345641.508831,2344525.304768
183.80,2345372.116928,2344240.553785
183.90,2343527.492259,2342392.758801
184.00,2340987.518898,2339861.881012
184.10,2337699.507549,2336592.592256
184.20,2335362.173046,2334277.662706
184.30,2334105.246464,2333040.445410
184.40,2334334.612441,2333280.869115
184.50,2335823.043784,2334768.162093
184.60,2338370.115293,2337301.467378
184.70,2341555.493644,2340463.383071
184.80,2344012.329157,2342892.939085
184.90,2345690.308937,2344546.163553
185.00,2345467.071277,2344306.966362
185.10,2344089.699753,2342925.738409
185.20,2341348.269001,2340193.255900
185.30,2338328.010914,2337191.592062
185.40,2335882.062833,2334768.244096
185.50,2334285.663251,2333191.879260
185.60,2334277.938589,2333195.367209
185.70,2335557.890733,2334474.123887
185.80,2338076.964519,2336979.107860
185.90,2341121.256881,2339999.598347
186.00,2343725.647788,2342576.341361
186.10,2345182.451064,2344008.468630
186.20,2345320.248828,2344130.455571
186.30,2343928.442712,2342735.416158
186.40,2341527.433529,2340343.930392
186.50,2338711.684902,2337547.285600
186.60,2335958.946688,2334817.527716
186.70,2334434.163624,2333312.423333
186.80,2334327.101867,2333215.738372
186.90,2335739.209044,2334625.318128
187.00,2338069.880266,2336940.668730
187.10,2341121.747972,2339967.742567
187.20,2343607.086578,2342425.172641
187.30,2345207.126277,2344000.977608
187.40,2345131.858774,2343911.283016
187.50,2343816.749015,2342594.629574
187.60,2341357.227144,2340146.359867
187.70,2338508.675205,2337318.071991
187.80,2335938.488623,2334770.955627
187.90,2334327.885097,2333179.125844
188.00,2334395.266173,2333254.882493
188.10,2335898.014325,2334752.654595
188.20,2338227.590911,2337064.672031
188.30,2341211.343463,2340022.246637
188.40,2343746.795598,2342529.625699
188.50,2345065.182630,2343825.175500
188.60,2345082.569113,2343830.455425
188.70,2343740.068775,2342489.283426
188.80,2341019.176780,2339782.322671
188.90,2338279.476776,2337064.282059
189.00,2335841.116949,2334648.761464
189.10,2334361.602690,2333186.119583
189.20,2334684.121150,2333513.789566
189.30,2336318.725816,2335139.819800
189.40,2338779.591855,2337580.090221
189.50,2341671.180726,2340444.013373
189.60,2343776.490611,2342521.873860
189.70,2345101.940897,2343826.782692
189.80,2344761.491114,2343478.026627
189.90,2343130.400042,2341852.352430
190.00,2340454.011418,2339192.999427
190.10,2337881.450007,2336643.353897
190.20,2335476.213965,2334260.011237
190.30,2334582.610472,2333379.903961
190.40,2334944.765600,2333742.777708
190.50,2336668.760037,2335453.620715
190.60,2339420.944715,2338181.709117
190.70,2342312.142404,2341044.090840
190.80,2344292.270372,2342998.281957
190.90,2345022.262097,2343711.743337
191.00,2344137.913305,2342824.333258
191.10,2342391.293750,2341087.999420
191.20,2339633.698011,2338350.731098
191.30,2336850.217293,2335590.920134
191.40,2335085.647292,2333845.636298
191.50,2334697.038058,2333465.610239
191.60,2335643.660240,2334406.892605
191.70,2337698.931709,2336443.638288
191.80,2340269.667921,2338987.268049
191.90,2342791.138276,2341480.043898
192.00,2344525.753315,2343191.913219
192.10,2344670.647161,2343325.978166
192.20,2343612.370090,2342270.923076
192.30,2341521.093218,2340195.317260
192.40,2338683.773179,2337380.990110
192.50,2336397.765003,2335117.557357
192.60,2334905.683528,2333640.430928
192.70,2334981.870420,2333718.535030
192.80,2336433.724991,2335157.968727
192.90,2338663.811207,2337364.244844
193.00,2341449.589640,2340120.782290
193.10,2343620.981462,2342265.497921
193.20,2344651.556822,2343278.910851
193.30,2344368.673970,2342992.543060
193.40,2342813.842766,2341448.170691
193.50,2340292.631023,2338947.610597
193.60,2337536.389746,2336215.328719
193.70,2335640.576168,2334338.717034
193.80,2334962.609694,2333668.740799
193.90,2335498.433745,2334198.214900
194.00,2337287.855506,2335967.886028
194.10,2339992.360497,2338644.184124
194.20,2342506.094671,2341129.013055
194.30,2344105.783262,2342706.847306
194.40,2344680.645943,2343272.354183
194.50,2343806.253479,2342403.221194
194.60,2341545.426081,2340160.024091
194.70,2339170.391167,2337808.575390
194.80,2336669.022019,2335329.274994
194.90,2335231.650254,2333904.696593
195.00,2335155.487043,2333827.377883
195.10,2336444.262876,2335100.528265
195.20,2338784.797962,2337414.783949
195.30,2341473.132324,2340073.267735
195.40,2343430.802760,2342005.819037
195.50,2344477.291439,2343038.381290
195.60,2344066.147937,2342627.978974
195.70,2342420.872715,2340997.007928
195.80,2340037.731158,2338636.592691
195.90,2337568.732488,2336191.047684
196.00,2335701.821669,2334340.348857
196.10,2334960.636411,2333602.296715
196.20,2335964.439773,2334594.043735
196.30,2338001.031213,2336606.429050
196.40,2340291.320648,2338866.981938
196.50,2342828.113575,2341376.294409
196.60,2344206.588981,2342737.423139
196.70,2344388.513089,2342916.305329
196.80,2343049.193172,2341588.484675
196.90,2340856.096354,2339416.902470
197.00,2338284.408932,2336869.415658
197.10,2336081.198712,2334684.776359
197.20,2335158.542767,2333768.247655
197.30,2335705.582518,2334306.186705
197.40,2337096.266724,2335674.719208
197.50,2339791.861139,2338340.511502
197.60,2342077.456843,2340597.515973
197.70,2343808.460708,2342308.711968
197.80,2344233.220768,2342727.784818
197.90,2343410.006383,2341913.752450
198.00,2341438.227345,2339962.398814
198.10,2339013.361175,2337561.941405
198.20,2336651.749845,2335220.347760
198.30,2335416.281034,2333993.102564
198.40,2335532.533077,2334102.330017
198.50,2336674.925581,2335223.874786
198.60,2338905.365350,2337424.978256
198.70,2341433.701167,2339923.808332
198.80,2343397.718262,2341866.482435
198.90,2344274.701434,2342735.963199
199.00,2343631.802136,2342100.920448
199.10,2342105.188803,2340593.880939
199.20,2339646.074944,2338159.345799
199.30,2337229.210854,2335763.260189
199.40,2335797.704402,2334341.072086
199.50,2335303.164693,2333840.757049
199.60,2336565.370546,2335082.508137
199.70,2338625.818128,2337113.703670
199.80,2341104.680962,2339562.655937
199.90,2343287.374929,2341723.249683
200.00,2343972.878518,2342400.813680
200.10,2343762.519881,2342197.702747
200.20,2342193.943026,2340648.672665
200.30,2339882.093055,2338361.450623
200.40,2337565.467283,2336065.724976
200.50,2335969.515034,2334479.267524
200.60,2335540.198224,2334044.005410
200.70,2336504.751571,2334988.000640
200.80,2338471.975077,2336925.715344
200.90,2340759.013886,2339182.810834
201.00,2342947.055369,2341348.869459
201.10,2343898.253612,2342292.382314
201.20,2343663.143548,2342065.121756
201.30,2342211.211273,2340633.165786
201.40,2339939.070438,2338385.787248
201.50,2337575.575702,2336042.875539
201.60,2336047.686463,2334523.583832
201.70,2335484.540335,2333953.447064
201.80,2336575.229319,2335022.434431
201.90,2338332.013535,2336749.258012
202.00,2340791.086719,2339178.420948
202.10,2342737.477358,2341103.907847
202.20,2343841.624498,2342201.708006
202.30,2343611.557223,2341980.983233
202.40,2342130.121707,2340520.547317
202.50,2340126.124612,2338541.216389
202.60,2337770.047998,2336204.733393
202.70,2336244.927579,2334686.373385
202.80,2335657.888793,2334090.218968
202.90,2336607.638414,2335016.610249
203.00,2338323.643716,2336701.963142
203.10,2340850.642906,2339199.613501
203.20,2342694.792477,2341024.761926
203.30,2343668.360546,2341994.560815
203.40,2343602.427651,2341940.182469
203.50,2341920.205215,2340280.438705
203.60,2339803.078104,2338187.853332
203.70,2337729.157169,2336131.528558
203.80,2336109.577348,2334515.864503
203.90,2335910.153313,2334303.951238
204.00,2336779.709784,2335147.953410
204.10,2338766.007045,2337102.808846
204.20,2340944.066122,2339253.095459
204.30,2342811.019278,2341103.933553
204.40,2343652.124744,2341944.905863
204.50,2343157.599120,2341465.228048
204.60,2341735.590288,2340066.891996
204.70,2339575.380817,2337930.432647
204.80,2337505.212404,2335874.988173
204.90,2336210.754233,2334580.156052
205.00,2335960.426733,2334313.449683
205.10,2336980.921062,2335305.832288
205.20,2339106.184823,2337399.472319
205.30,2341304.819009,2339572.714270
205.40,2342971.015877,2341227.072235
205.50,2343525.855681,2341786.496878
205.60,2342981.180451,2341260.054272
205.70,2341240.670747,2339544.417599
205.80,2339165.876545,2337491.454339
205.90,2337058.949204,2335395.079646
206.00,2335991.868356,2334322.259933
206.10,2336401.551773,2334710.625031
206.20,2337574.506793,2335853.199806
206.30,2339446.918922,2337695.117351
206.40,2341716.490998,2339943.053839
206.50,2343119.953306,2341340.305783
206.60,2343622.150409,2341852.359139
206.70,2342748.910143,2341000.797755
206.80,2340681.705568,2338958.693254
206.90,2338755.916312,2337051.247483
207.00,2336780.132673,2335080.222728
207.10,2336195.830436,2334483.674500
207.20,2336607.863089,2334869.907044
207.30,2338040.292500,2336270.547105
207.40,2340291.893900,2338493.922972
207.50,2342146.416669,2340332.630041
207.60,2343206.402673,2341393.283610
207.70,2343150.529124,2341353.139743
207.80,2342079.073762,2340305.859370
207.90,2340255.413476,2338505.422251
208.00,2337908.931549,2336172.307854
208.10,2336633.658317,2334894.085796
208.20,2336275.078888,2334516.474873
208.30,2337172.840871,2335384.346363
208.40,2338932.856669,2337112.858925
208.50,2340855.370048,2339012.083150
208.60,2342611.982302,2340760.227094
208.70,2343255.001477,2341411.595442
208.80,2342870.436166,2341047.874542
208.90,2341382.341293,2339584.854959
209.00,2339258.985610,2337480.904820
209.10,2337336.054131,2335563.613534
209.20,2336355.875895,2334572.001916
209.30,2336478.767601,2334669.265321
209.40,2337884.934643,2336043.201608
209.50,2339655.414722,2337785.275589
209.60,2341586.928391,2339700.618968
209.70,2343061.977916,2341176.119157
209.80,2343113.708420,2341243.881976
209.90,2342238.384636,2340392.935870
210.00,2340506.209198,2338683.864374
210.10,2338397.192069,2336587.388485
210.20,2336761.132114,2334947.486522
210.30,2336403.969884,2334569.969508
210.40,2336910.223349,2335045.722604
210.50,2338564.041908,2336668.086569
210.60,2340634.370247,2338716.037174
210.70,2342377.195519,2340452.229863
210.80,2342972.936007,2341058.327283
210.90,2342763.160152,2340870.526677
211.00,2341466.532616,2339598.730335
211.10,2339486.076945,2337635.899035
211.20,2337580.625635,2335733.216372
211.30,2336522.130476,2334660.229531
211.40,2336624.503032,2334734.760227
211.50,2337896.550049,2335974.262230
211.60,2339700.778564,2337751.779393
211.70,2341520.502956,2339558.802510
211.80,2342815.759604,2340858.520902
211.90,2343153.166346,2341214.632859
212.00,2342061.008469,2340147.722475
212.10,2340393.879615,2338501.639546
212.20,2338508.438248,2336624.329879
212.30,2336907.559496,2335014.508872
212.40,2336632.796286,2334715.203105
212.50,2337270.971776,2335321.214501
212.60,2338873.075935,2336893.629407
212.70,2340736.799103,2338739.680618
212.80,2342397.725011,2340399.837076
212.90,2342979.722792,2340997.142273
213.00,2342630.556318,2340672.195647
213.10,2341076.137708,2339141.135598
213.20,2339230.803993,2337308.169904
213.30,2337521.578585,2335594.614345
213.40,2336703.788513,2334755.861511
213.50,2336984.524747,2335005.356053
213.60,2338398.314578,2336387.597328
213.70,2340120.180091,2338088.062350
213.80,2341711.610623,2339674.548875
213.90,2342876.523381,2340851.165825
214.00,2342803.218039,2340800.898930
214.10,2341494.107021,2339516.393351
214.20,2339918.371954,2337955.999542
214.30,2338027.169638,2336064.352628
214.40,2336804.796747,2334824.220188
214.50,2336682.281368,2334671.777888
214.60,2337899.619630,2335856.523607
214.70,2339384.651693,2337317.508690
214.80,2341253.799172,2339178.081074
214.90,2342649.876585,2340582.957514
215.00,2342784.225282,2340739.066965
215.10,2342110.371524,2340090.060571
215.20,2340313.535404,2338311.036138
215.30,2338589.544309,2336589.302327
215.40,2337172.343687,2335156.840210
215.50,2336568.849957,2334524.806360
215.60,2337457.374031,2335380.333971
215.70,2338986.837057,2336883.723765
215.80,2340866.633160,2338752.428567
215.90,2342222.131061,2340114.674188
216.00,2342777.555501,2340690.527061
216.10,2342344.220061,2340282.224904
216.20,2340877.345829,2338834.369575
216.30,2338883.456783,2336844.921935
216.40,2337370.888395,2335318.805535
216.50,2336849.114613,2334769.139336
216.60,2337323.835757,2335210.840832
216.70,2338550.391783,2336410.316010
216.80,2340445.964777,2338293.170165
216.90,2342030.016153,2339882.427575
217.00,2342534.336499,2340406.595985
217.10,2342387.235362,2340284.472402
217.20,2340981.681629,2338898.720109
217.30,2339309.985721,2337232.230011
217.40,2337709.033838,2335618.641868
217.50,2337023.436452,2334905.608317
217.60,2337385.273209,2335234.261250
217.70,2338373.872212,2336195.345244
217.80,2340244.523775,2338052.574006
217.90,2341729.426615,2339542.258130
218.00,2342507.205831,2340339.467050
218.10,2342454.966273,2340312.234289
218.20,2341252.634069,2339129.764340
218.30,2339508.776712,2337391.352724
218.40,2337852.405414,2335722.380275
218.50,2337091.458910,2334933.883603
218.60,2337098.366696,2334907.725234
218.70,2338116.899537,2335898.648471
218.80,2339948.356982,2337716.875234
218.90,2341593.881377,2339367.371080
219.00,2342472.564571,2340265.712800
219.10,2342469.511155,2340287.699553
219.20,2341439.884662,2339277.438624
219.30,2339809.482610,2337651.656374
219.40,2337967.930025,2335796.802446
219.50,2336997.410468,2334798.250004
219.60,2337146.284076,2334913.776789
219.70,2338182.398948,2335922.793368
219.80,2340012.570557,2337740.799751
219.90,2341565.304634,2339299.785120
220.00,2342585.796591,2340340.599535
220.10,2342525.786320,2340305.653320
220.20,2341407.015317,2339205.361337
220.30,2339645.510315,2337446.957880
220.40,2337933.140818,2335719.442907
220.50,2337159.854557,2334916.826184
220.60,2337420.296111,2335143.825493
220.70,2338204.147112,2335902.049104
220.80,2339819.684755,2337507.634957
220.90,2341512.558928,2339208.637404
221.00,2342507.205210,2340224.786805
221.10,2342479.404531,2340221.744066
221.20,2341202.226269,2338961.471657
221.30,2339762.068103,2337521.493457
221.40,2338087.227658,2335828.964995
221.50,2337112.698357,2334823.914082
221.60,2337161.165836,2334839.515693
221.70,2338302.161144,2335956.597765
221.80,2339980.587504,2337628.006218
221.90,2341641.864830,2339300.173263
222.00,2342432.866393,2340114.189264
222.10,2342272.495224,2339977.955126
222.20,2341200.679788,2338920.196816
222.30,2339672.356727,2337388.533414
222.40,2337941.334085,2335636.729268
222.50,2337148.425961,2334811.713804
222.60,2337321.568616,2334952.854594
222.70,2338433.880345,2336044.362286
222.80,2340178.959877,2337786.336836
222.90,2341716.818707,2339338.476313
223.00,2342456.954938,2340102.843699
223.10,2342164.264619,2339832.891648
223.20,2341140.340965,2338819.219292
223.30,2339397.638830,2337068.828188
223.40,2337853.119164,2335499.779191
223.50,2337158.800496,2334772.185293
223.60,2337487.655490,2335070.837849
223.70,2338816.317120,2336382.740538
223.80,2340283.434669,2337851.921316
223.90,2341854.649346,2339440.881841
224.00,2342368.410127,2339979.702995
224.10,2342099.572877,2339730.906156
224.20,2340808.104559,2338444.957515
224.30,2339177.692310,2336801.354913
224.40,2337673.639960,2335269.152826
224.50,2337035.013341,2334596.940736
224.60,2337662.402177,2335197.097453
224.70,2339027.440245,2336550.889163
224.80,2340654.902346,2338185.823729
224.90,2341985.821601,2339537.997609
225.00,2342302.233929,2339879.200358
225.10,2341985.631700,2339578.509627
225.20,2340529.068765,2338121.353038
225.30,2338683.847717,2336257.272911
225.40,2337521.950080,2335063.805394
225.50,2336983.182779,2334492.469316
225.60,2337819.852918,2335306.620364
225.70,2339314.448681,2336796.613480
225.80,2341062.990549,2338558.326709
225.90,2342213.703946,2339732.889021
226.00,2342385.566042,2339927.556078
226.10,2341774.823155,2339327.096527
226.20,2339902.921025,2337447.638329
226.30,2338460.797851,2335980.376847
226.40,2337323.340429,2334809.496649
226.50,2337320.145445,2334776.224806
226.60,2338187.327595,2335627.622976
226.70,2339781.123354,2337224.406537
226.80,2341527.278648,2338989.130730
226.90,2342188.342631,2339675.327816
227.00,2342223.215153,2339728.836315
227.10,2341115.874725,2338624.555071
227.20,2339460.323048,2336953.167738
227.30,2337918.500387,2335381.320239
227.40,2337296.973433,2334726.043828
227.50,2337453.933003,2334858.223407
227.60,2338729.756191,2336126.308654
227.70,2340385.242092,2337792.673793
227.80,2341813.930071,2339244.303756
227.90,2342471.083727,2339924.897852
228.00,2341992.267589,2339458.413178
228.10,2340656.399666,2338116.581844
228.20,2338930.793329,2336367.366589
228.30,2337519.343139,2334922.664536
228.40,2337306.036332,2334678.250114
228.50,2337925.786176,2335280.767902
228.60,2339290.721309,2336647.533790
228.70,2341063.456861,2338438.175197
228.80,2342085.336894,2339484.992768
228.90,2342406.463059,2339825.070055
229.00,2341501.649759,2338923.706320
229.10,2339829.463286,2337235.937771
229.20,2338427.361037,2335803.456352
229.30,2337331.760830,2334674.236006
229.40,2337430.950267,2334748.458166
229.50,2338458.733568,2335768.877172
229.60,2340060.561420,2337382.022916
229.70,2341545.888472,2338890.539659
229.80,2342166.119725,2339534.112774
229.90,2342085.600570,2339464.657876
230.00,2340923.427009,2338295.025645
230.10,2339136.438234,2336483.245272
230.20,2337711.324190,2335024.334664
230.30,2337280.990849,2334563.668025
230.40,2337728.281422,2334995.497984
230.50,2338999.693821,2336270.811934
230.60,2340722.153056,2338012.636327
230.70,2342036.126460,2339351.216153
230.80,2342278.406139,2339610.860648
230.90,2341542.712212,2338875.559792
231.00,2340002.469969,2337316.668055
231.10,2338410.182334,2335692.547792
231.20,2337454.011753,2334703.062710
231.30,2337355.942628,2334582.830091
231.40,2338323.982040,2335547.247318
231.50,2339948.008717,2337185.696519
231.60,2341573.012658,2338834.787591
231.70,2342348.859863,2339632.035193
231.80,2342033.461001,2339323.895293
231.90,2340661.271833,2337939.702840
232.00,2339128.894738,2336378.795976
232.10,2337803.396009,2335018.910852
232.20,2337180.551428,2334368.855997
232.30,2337745.536143,2334923.387882
232.40,2339294.354634,2336480.950754
232.50,2340883.929422,2338092.838227
232.60,2342172.273640,2339404.770757
232.70,2342494.085160,2339739.143917
232.80,2341460.686515,2338699.953971
232.90,2339929.716166,2337144.736264
233.00,2338346.222430,2335527.286021
233.10,2337273.061738,2334423.429024
233.20,2337424.753308,2334558.816200
233.30,2338665.018267,2335802.328579
233.40,2340201.915974,2337358.736743
233.50,2341789.819421,2338971.123648
233.60,2342527.737543,2339725.784014
233.70,2341855.879624,2339053.671946
233.80,2340392.078797,2337570.151632
233.90,2338792.976530,2335938.364480
234.00,2337608.645908,2334720.875098
234.10,2337290.602080,2334381.870526
234.20,2337860.484227,2334950.308081
234.30,2339671.170394,2336776.779093
234.40,2341380.350537,2338510.401859
234.50,2342217.736116,2339367.825942
234.60,2342293.276832,2339447.297857
234.70,2341141.128824,2338279.530968
234.80,2339415.264459,2336523.037445
234.90,2337904.271304,2334977.822972
235.00,2337222.308668,2334271.237145
235.10,2337618.524270,2334661.353629
235.20,2339088.592799,2336144.146843
235.30,2340815.045061,2337894.382684
235.40,2342047.042797,2339148.278149
235.50,2342371.113653,2339480.121572
235.60,2341472.304736,2338569.429589
235.70,2339981.787886,2337050.133642
235.80,2338276.636443,2335310.341122
235.90,2337249.929053,2334256.345332
236.00,2337241.353070,2334238.092819
236.10,2338650.149605,2335656.445585
236.20,2340427.233544,2337456.226274
236.30,2341724.267441,2338776.589780
236.40,2342326.652071,2339389.625127
236.50,2341790.877925,2338844.927254
236.60,2340322.878483,2337350.191424
236.70,2338411.065016,2335403.838171
236.80,2337507.934142,2334471.015831
236.90,2337258.032637,2334208.498515
237.00,2338378.393306,2335336.009714
237.10,2339984.154513,2336963.574555
237.20,2341615.751905,2338618.980757
237.30,2342210.776709,2339227.047505
237.40,2342071.666145,2339081.183557
237.50,2340679.950954,2337664.387851
237.60,2338972.091827,2335921.805940
237.70,2337588.276575,2334507.364636
237.80,2337233.067277,2334137.266786
237.90,2337935.419150,2334845.158343
238.00,2339661.468098,2336591.877245
238.10,2341223.497027,2338178.315664
238.20,2342130.753237,2339099.832296
238.30,2342156.976791,2339120.972665
238.40,2341008.955993,2337948.825827
238.50,2339219.167676,2336124.547558
238.60,2337734.370280,2334608.250309
238.70,2337335.483181,2334192.931073
238.80,2337907.287877,2334769.007528
238.90,2339498.375095,2336380.264695
239.00,2341123.179566,2338029.664529
239.10,2342260.105927,2339181.484481
239.20,2342246.712905,2339164.133827
239.30,2341257.849174,2338151.619273
239.40,2339626.566141,2336485.664703
239.50,2337972.298930,2334799.563423
239.60,2337263.629109,2334074.058062
239.70,2337599.900055,2334414.248108
239.80,2339168.301747,2336002.567892
239.90,2341031.956331,2337890.619228
240.00,2342120.609426,2338994.538065
240.10,2342385.824042,2339255.666769
240.20,2341346.498176,2338192.796797
240.30,2339715.331091,2336526.820568
240.40,2338152.453114,2334931.817296
240.50,2337193.843852,2333956.670807
240.60,2337574.210733,2334341.021308
240.70,2338993.803820,2335780.905205
240.80,2340736.361476,2337548.026070
240.90,2341971.856711,2338798.278549
241.00,2342372.492947,2339194.051473
241.10,2341537.885114,2338334.995468
241.20,2339905.748385,2336667.730956
241.30,2337988.178866,2334718.755369
241.40,2337105.970671,2333820.648543
241.50,2337544.620711,2334264.126680
241.60,2338890.536261,2335631.035464
241.70,2340843.300372,2337607.936182
241.80,2341974.780080,2338753.359602
241.90,2342426.412699,2339198.616254
242.00,2341576.497438,2338323.010281
242.10,2339811.912581,2336523.040048
242.20,2338074.177934,2334754.330354
242.30,2337094.971849,2333760.923627
242.40,2337427.180901,2334099.817998
242.50,2338779.338203,2335473.928743
242.60,2340586.848578,2337305.407998
242.70,2342118.853380,2338849.116318
242.80,2342412.940070,2339134.755320
242.90,2341508.477958,2338202.841393
243.00,2339794.220258,2336452.673237
243.10,2338116.067029,2334744.712715
243.20,2337197.586661,2333814.375378
243.30,2337502.912635,2334128.868949
243.40,2338919.429782,2335568.454121
243.50,2340906.353156,2337578.329537
243.60,2342071.966703,2338753.667825
243.70,2342359.041708,2339029.165435
243.80,2341427.164946,2338067.587785
243.90,2339640.011997,2336244.365207
244.00,2337823.379737,2334400.097340
244.10,2337192.077014,2333759.867331
244.20,2337589.709353,2334169.620470
244.30,2339101.300188,2335705.370130
244.40,2340764.896996,2337391.026867
244.50,2342134.934947,2338767.060349
244.60,2342488.613804,2339105.127901
244.70,2341300.164573,2337884.816883
244.80,2339372.548297,2335921.500535
244.90,2337843.061312,2334366.855279
245.00,2336958.349358,2333477.859828
245.10,2337688.687701,2334223.375692
245.20,2339265.608791,2335825.338346
245.30,2341120.836467,2337700.128803
245.40,2342377.628767,2338958.614922
245.50,2342372.526866,2338933.814952
245.60,2341157.128118,2337684.096583
245.70,2339327.120910,2335819.167916
245.80,2337606.197899,2334077.368931
245.90,2337246.140222,2333717.411989
246.00,2337960.542012,2334450.753923
246.10,2339479.167651,2335994.871979
246.20,2341315.231519,2337847.169866
246.30,2342416.324321,2338944.644605
246.40,2342210.602304,2338714.456374
246.50,2340879.459153,2337347.095566
246.60,2338973.414303,2335408.280524
246.70,2337596.727340,2334015.449458
246.80,2337143.782611,2333568.636869
246.90,2338234.307027,2334681.083731
247.00,2339970.180401,2336441.429767
247.10,2341635.334258,2338118.335847
247.20,2342429.851446,2338903.147806
247.30,2341991.312429,2338435.336442
247.40,2340367.812426,2336774.893160
247.50,2338495.237106,2334873.016554
247.60,2337283.405798,2333651.336988
247.70,2337189.193137,2333569.025909
247.80,2338535.331080,2334939.525279
247.90,2340381.085789,2336807.376533
248.00,2342023.106465,2338454.892839
248.10,2342620.301472,2339035.354471
248.20,2341660.366711,2338042.213708
248.30,2339889.543747,2336234.981758
248.40,2338054.940995,2334376.323199
248.50,2336965.411443,2333284.474587
248.60,2337447.598186,2333783.896369
248.70,2338786.534340,2335148.692874
248.80,2340882.716990,2337262.418905
248.90,2342185.059081,2338562.941692
249.00,2342574.317522,2338928.124197
249.10,2341265.562720,2337583.093559
249.20,2339476.571305,2335760.065773
249.30,2337734.775295,2334001.303253
249.40,2337061.649781,2333333.725333
249.50,2337690.337729,2333984.843392
249.60,2339474.416460,2335793.513765
249.70,2341194.793412,2337525.613965
249.80,2342569.334210,2338889.088029
249.90,2342193.528889,2338483.140102
250.00,2340666.375241,2336918.369001
250.10,2338944.886229,2335167.584152
250.20,2337532.396245,2333746.656657
250.30,2337198.069514,2333425.972551
